Ответ сервера: Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 1, Пчёл-охранников: 19
Ответ сервера: Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 3, Пчёл-охранников: 17
Ответ сервера: Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 4, Пчёл-охранников: 16
Ответ сервера: Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 5, Пчёл-охранников: 15
Ответ сервера: Мёд собран. Количество мёда: 17, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Ответ сервера: Мёд собран. Количество мёда: 18, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Ответ сервера: Мёд собран. Количество мёда: 19, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Ответ сервера: Мёд собран. Количество мёда: 20, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Ответ сервера: Мёд собран. Количество мёда: 21, Пчёл-сборщиков: 10, Пчёл-охранников: 10
Ответ сервера: Мёд собран. Количество мёда: 22, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Ответ сервера: Мёд собран. Количество мёда: 23, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Ответ сервера: Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Ответ сервера: Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 10, Пчёл-охранников: 10
Ответ сервера: Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Ответ сервера: Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Ответ сервера: Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Ответ сервера: Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Ответ сервера: Мёд собран. Количество мёда: 24, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Ответ сервера: Мёд собран. Количество мёда: 25, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Ответ сервера: Пчела становится охранником. Количество мёда: 25, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Ответ сервера: Пчела становится охранником. Количество мёда: 25, Пчёл-сборщиков: 6, Пчёл-охранников: 14
Ответ сервера: Мёд собран. Количество мёда: 26, Пчёл-сборщиков: 7, Пчёл-охранников: 13
Ответ сервера: Мёд собран. Количество мёда: 27, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Ответ сервера: Мёд собран. Количество мёда: 28, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Ответ сервера: Пчела становится охранником. Количество мёда: 28, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Ответ сервера: Мёд собран. Количество мёда: 29, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Ответ сервера: Пчела становится охранником. Количество мёда: 29, Пчёл-сборщиков: 8, Пчёл-охранников: 12
Ответ сервера: Мёд собран. Количество мёда: 30, Пчёл-сборщиков: 9, Пчёл-охранников: 11
Ответ сервера: Улей полон. Все пчёлы переходят к охране улья. Победа!
